Title,Genre,Premiere,Runtime,IMDB Score,Language
"Crack: Cocaine, Corruption & Conspiracy",Documentary,1/11/2021,89,6.7,English
The Heartbreak Club,Comedy-drama,1/14/2021,101,6.4,Indonesian
Outside the Wire,Action/Science fiction,1/15/2021,114,5.4,English
Double Dad,Comedy-drama,1/15/2021,103,5.6,Portuguese
Tribhanga – Tedhi Medhi Crazy,Drama,1/15/2021,95,6.1,Hindi
What Would Sophia Loren Do?,Documentary,1/15/2021,32,6.6,English
The White Tiger,Drama,1/22/2021,125,7.1,English
June & Kopi,Drama,1/28/2021,90,6.3,Indonesian
Finding 'Ohana,Family,1/29/2021,123,6.1,English
Below Zero,Drama,1/29/2021,106,6.2,Spanish
The Dig,Drama,1/29/2021,112,7.1,English
"Strip Down, Rise Up",Documentary,2/5/2021,112,5.2,English
The Last Paradiso,Romantic drama,2/5/2021,107,5.6,Italian
Space Sweepers,Science fiction,2/5/2021,136,6.6,Korean
Malcolm & Marie,Romantic drama,2/5/2021,106,6.7,English
Biggie: I Got a Story to Tell,Documentary,3/1/2021,97,6.9,English
Moxie,Drama,3/3/2021,111,6.7,English
Sentinelle,Action,3/5/2021,80,4.7,French
Tersanjung the Movie,Drama,4/1/2021,114,6.1,Indonesian
Just Say Yes,Romantic comedy,4/2/2021,97,4.5,Dutch
Madame Claude,Drama,4/2/2021,112,5.4,French
Concrete Cowboy,Drama,4/2/2021,111,6.3,English
Dolly Parton: A MusiCares Tribute,Documentary,4/7/2021,55,6.5,English
Thunder Force,Superhero-Comedy,4/9/2021,105,4.4,English
Have You Ever Seen Fireflies?,Comedy,4/9/2021,114,6.2,Turkish
Night in Paradise,Drama,4/9/2021,132,6.7,Korean
Monster,Drama,5/7/2021,98,6.5,English
Milestone,Drama,5/7/2021,98,6.6,Hindi
